"","log2FoldChange","padj"
"LFT_00995",1.06699734511804,1.74877309376692e-09
"LFT_01708",1.13044936612811,4.92555981478753e-09
"LFT_01198",1.59744168784695,5.86633935780571e-09
"LFT_00778",2.66021451268197,6.34716796750553e-09
"LFT_02184",2.06622686035618,7.06870849758272e-09
"LFT_02020",-0.930559204771637,9.37657363068971e-09
"LFT_02296",-1.16043173424309,9.37657363068971e-09
"LFT_00776",2.73861610220902,9.5403238188364e-09
"LFT_00781",2.96408812730201,1.15382334427814e-08
"LFT_01839",1.49795764506665,1.21260520488849e-08
"LFT_00769",5.54977885654657,1.82508815923039e-08
"LFT_01619",-0.970043140828499,2.5936517981569e-08
"LFT_00753",1.85068410536333,3.11261770994293e-08
"LFT_00994",0.902150102780423,3.13215881067446e-08
"LFT_00929",-1.08661885281588,3.42233751490623e-08
"LFT_01204",1.75053892044944,3.6981979151068e-08
"LFT_01194",2.49778224794606,4.40761295191653e-08
"LFT_00629",-2.13548590136886,4.70635646843511e-08
"LFT_00782",2.50253281709024,5.23479467526311e-08
"LFT_00645",1.44513036762747,5.23479467526311e-08
"LFT_02134",-1.21381224918697,6.85060933571644e-08
"LFT_01199",1.93273131741718,7.00163750715114e-08
"LFT_00506",1.1528737842952,7.97454123750584e-08
"LFT_02537",1.18102957199791,8.39635826850651e-08
"LFT_01934",-1.17635161599241,9.61863056872175e-08
"LFT_00196",1.30059781989926,1.53834996313748e-07
"LFT_01262",1.10368840969906,2.14196177647909e-07
"LFT_01208",2.8571323806006,2.1566626364783e-07
"LFT_00770",3.53766010264291,2.33790416428993e-07
"LFT_02075",-1.04431074539718,2.38637474301484e-07
"LFT_00801",1.26979067823917,3.08687745662209e-07
"LFT_00127",1.24111439945404,3.16391429294377e-07
"LFT_00318",-0.929301931324017,3.61592534695549e-07
"LFT_01266",-1.08145647289242,3.87821552931585e-07
"LFT_00626",-1.69345646342765,4.26794736241978e-07
"LFT_00539",1.16678348247504,4.39899977254392e-07
"LFT_00715",-1.31980352681082,4.81850832307617e-07
"LFT_00435",2.49304044119947,8.7011225275539e-07
"LFT_00802",3.21759221705932,9.06417020907036e-07
"LFT_00084",2.85392507361214,9.2400709219767e-07
"LFT_00224",1.13540891508749,1.04813170099488e-06
"LFT_01673",0.879949095529629,1.0981891099424e-06
"LFT_00757",1.74985628731435,1.25615455003512e-06
"LFT_00925",-0.838566660482861,1.47151248012577e-06
"LFT_00193",1.0472633197877,1.71555382447376e-06
"LFT_01160",1.27505626256033,1.8084346237589e-06
"LFT_00217",1.38498140120719,1.82997400807394e-06
"LFT_00434",3.90933239974922,1.99410079943534e-06
"LFT_01033",-0.944521904523163,2.12186779737334e-06
